Virus Strain,Vaccine Element,HLA,Immunogenicity Score,Binding,Error Rate
Zika Virus,vaccine_element_44,HLA-B*29,0.34,595.0,0.44
Zika Virus,vaccine_element_44,HLA-B*51,0.33,1541.0,0.1
Zika Virus,vaccine_element_44,HLA-A*44,0.63,1866.0,0.56
Zika Virus,vaccine_element_44,HLA-B*82,0.43,1195.0,0.19
Zika Virus,vaccine_element_44,HLA-B*72,0.47,499.0,0.43
Zika Virus,vaccine_element_44,HLA-B*52,0.94,1782.0,0.31
Zika Virus,vaccine_element_44,HLA-A*54,0.65,1191.0,0.5
Zika Virus,vaccine_element_44,HLA-B*60,0.61,1148.0,0.41
Zika Virus,vaccine_element_44,HLA-B*93,0.95,807.0,0.21
Zika Virus,vaccine_element_44,HLA-B*32,0.75,1615.0,0.08
Zika Virus,vaccine_element_44,HLA-A*12,0.32,1877.0,0.16
Zika Virus,vaccine_element_44,HLA-B*54,0.93,1008.0,0.57
Zika Virus,vaccine_element_45,HLA-B*40,0.38,1426.0,0.61
Zika Virus,vaccine_element_45,HLA-B*49,0.36,953.0,0.33
Zika Virus,vaccine_element_45,HLA-B*18,0.49,817.0,0.29
Zika Virus,vaccine_element_45,HLA-A*19,0.9,403.0,0.61
Zika Virus,vaccine_element_45,HLA-A*40,0.56,1950.0,0.25
Zika Virus,vaccine_element_45,HLA-B*33,0.81,374.0,0.66
Zika Virus,vaccine_element_45,HLA-A*26,0.36,1277.0,0.67
Zika Virus,vaccine_element_45,HLA-B*12,0.32,788.0,0.14
Zika Virus,vaccine_element_45,HLA-B*97,0.44,910.0,0.43
Zika Virus,vaccine_element_45,HLA-B*09,0.55,1220.0,0.07
Zika Virus,vaccine_element_45,HLA-B*89,0.93,1123.0,0.3
Zika Virus,vaccine_element_45,HLA-A*45,1.0,616.0,0.18
Zika Virus,vaccine_element_45,HLA-A*58,0.53,1705.0,0.52
Zika Virus,vaccine_element_45,HLA-A*81,0.68,1072.0,0.43
Zika Virus,vaccine_element_45,HLA-A*27,0.68,1639.0,0.2
Zika Virus,vaccine_element_45,HLA-B*50,0.79,1074.0,0.61
Zika Virus,vaccine_element_45,HLA-A*95,0.54,1978.0,0.04
Zika Virus,vaccine_element_45,HLA-B*81,0.83,749.0,0.27
Zika Virus,vaccine_element_45,HLA-B*29,0.36,954.0,0.39
Zika Virus,vaccine_element_45,HLA-B*51,0.71,1539.0,0.29
Zika Virus,vaccine_element_45,HLA-A*44,0.75,1634.0,0.08
Zika Virus,vaccine_element_45,HLA-B*82,0.71,889.0,0.22
Zika Virus,vaccine_element_45,HLA-B*72,0.93,912.0,0.32
Zika Virus,vaccine_element_45,HLA-B*52,0.8,1618.0,0.54
Zika Virus,vaccine_element_45,HLA-A*54,0.56,959.0,0.13
Zika Virus,vaccine_element_45,HLA-B*60,0.97,1120.0,0.46
Zika Virus,vaccine_element_45,HLA-B*93,0.92,1880.0,0.27
Zika Virus,vaccine_element_45,HLA-B*32,0.81,1425.0,0.4
Zika Virus,vaccine_element_45,HLA-A*12,0.36,497.0,0.41
Zika Virus,vaccine_element_45,HLA-B*54,0.47,704.0,0.27
Zika Virus,vaccine_element_46,HLA-B*40,0.36,1810.0,0.21
Zika Virus,vaccine_element_46,HLA-B*49,0.92,1803.0,0.16
Zika Virus,vaccine_element_46,HLA-B*18,0.33,925.0,0.14
Zika Virus,vaccine_element_46,HLA-A*19,0.78,997.0,0.22
Zika Virus,vaccine_element_46,HLA-A*40,0.4,1562.0,0.65
Zika Virus,vaccine_element_46,HLA-B*33,0.66,1566.0,0.62
Zika Virus,vaccine_element_46,HLA-A*26,0.79,1705.0,0.42
Zika Virus,vaccine_element_46,HLA-B*12,0.98,1146.0,0.55
Zika Virus,vaccine_element_46,HLA-B*97,0.63,1251.0,0.05
Zika Virus,vaccine_element_46,HLA-B*09,0.54,1056.0,0.16
Zika Virus,vaccine_element_46,HLA-B*89,0.4,1010.0,0.57
Zika Virus,vaccine_element_46,HLA-A*45,0.61,1668.0,0.11
Zika Virus,vaccine_element_46,HLA-A*58,0.72,1945.0,0.35
Zika Virus,vaccine_element_46,HLA-A*81,0.97,1996.0,0.39
Zika Virus,vaccine_element_46,HLA-A*27,0.76,1914.0,0.21
Zika Virus,vaccine_element_46,HLA-B*50,0.98,1755.0,0.2
Zika Virus,vaccine_element_46,HLA-A*95,0.5,1087.0,0.42
Zika Virus,vaccine_element_46,HLA-B*81,0.9,1617.0,0.22
Zika Virus,vaccine_element_46,HLA-B*29,0.57,1486.0,0.07
Zika Virus,vaccine_element_46,HLA-B*51,0.36,1049.0,0.52
Zika Virus,vaccine_element_46,HLA-A*44,0.37,407.0,0.04
Zika Virus,vaccine_element_46,HLA-B*82,0.55,1177.0,0.46
Zika Virus,vaccine_element_46,HLA-B*72,0.64,1503.0,0.21
Zika Virus,vaccine_element_46,HLA-B*52,0.77,1447.0,0.67
Zika Virus,vaccine_element_46,HLA-A*54,0.44,1257.0,0.62
Zika Virus,vaccine_element_46,HLA-B*60,0.77,597.0,0.56
Zika Virus,vaccine_element_46,HLA-B*93,0.53,898.0,0.6
Zika Virus,vaccine_element_46,HLA-B*32,0.54,1932.0,0.22
Zika Virus,vaccine_element_46,HLA-A*12,0.54,795.0,0.15
Zika Virus,vaccine_element_46,HLA-B*54,0.59,1765.0,0.6
Zika Virus,vaccine_element_47,HLA-B*40,0.33,690.0,0.48
Zika Virus,vaccine_element_47,HLA-B*49,0.98,1837.0,0.13
Zika Virus,vaccine_element_47,HLA-B*18,0.83,863.0,0.32
Zika Virus,vaccine_element_47,HLA-A*19,0.51,1008.0,0.46
Zika Virus,vaccine_element_47,HLA-A*40,0.45,1185.0,0.16
Zika Virus,vaccine_element_47,HLA-B*33,0.46,983.0,0.14
Zika Virus,vaccine_element_47,HLA-A*26,0.79,1813.0,0.12
Zika Virus,vaccine_element_47,HLA-B*12,0.7,1619.0,0.57
Zika Virus,vaccine_element_47,HLA-B*97,0.95,645.0,0.1
Zika Virus,vaccine_element_47,HLA-B*09,0.42,1837.0,0.58
Zika Virus,vaccine_element_47,HLA-B*89,0.54,1553.0,0.65
Zika Virus,vaccine_element_47,HLA-A*45,0.96,1306.0,0.33
Zika Virus,vaccine_element_47,HLA-A*58,0.82,933.0,0.18
Zika Virus,vaccine_element_47,HLA-A*81,0.36,1552.0,0.63
Zika Virus,vaccine_element_47,HLA-A*27,0.87,987.0,0.63
Zika Virus,vaccine_element_47,HLA-B*50,0.46,885.0,0.1
Zika Virus,vaccine_element_47,HLA-A*95,0.39,958.0,0.31
Zika Virus,vaccine_element_47,HLA-B*81,0.83,1469.0,0.15
Zika Virus,vaccine_element_47,HLA-B*29,0.77,1976.0,0.65
Zika Virus,vaccine_element_47,HLA-B*51,0.89,466.0,0.3
Zika Virus,vaccine_element_47,HLA-A*44,0.37,998.0,0.28
Zika Virus,vaccine_element_47,HLA-B*82,0.6,1884.0,0.58
Zika Virus,vaccine_element_47,HLA-B*72,0.7,985.0,0.62
Zika Virus,vaccine_element_47,HLA-B*52,0.33,1806.0,0.38
Zika Virus,vaccine_element_47,HLA-A*54,0.9,1492.0,0.44
Zika Virus,vaccine_element_47,HLA-B*60,0.72,308.0,0.55
Zika Virus,vaccine_element_47,HLA-B*93,0.66,947.0,0.15
Zika Virus,vaccine_element_47,HLA-B*32,0.67,1224.0,0.04
Zika Virus,vaccine_element_47,HLA-A*12,0.46,1194.0,0.31
Zika Virus,vaccine_element_47,HLA-B*54,0.69,1543.0,0.12
Zika Virus,vaccine_element_48,HLA-B*40,0.74,484.0,0.1
Zika Virus,vaccine_element_48,HLA-B*49,0.72,1602.0,0.49
Zika Virus,vaccine_element_48,HLA-B*18,0.44,624.0,0.41
Zika Virus,vaccine_element_48,HLA-A*19,0.75,369.0,0.49
Zika Virus,vaccine_element_48,HLA-A*40,0.91,1758.0,0.63
Zika Virus,vaccine_element_48,HLA-B*33,0.63,1124.0,0.41
Zika Virus,vaccine_element_48,HLA-A*26,0.4,1569.0,0.13
Zika Virus,vaccine_element_48,HLA-B*12,0.86,1460.0,0.06
Zika Virus,vaccine_element_48,HLA-B*97,0.94,1421.0,0.49
Zika Virus,vaccine_element_48,HLA-B*09,0.69,729.0,0.47
Zika Virus,vaccine_element_48,HLA-B*89,0.95,1645.0,0.48
Zika Virus,vaccine_element_48,HLA-A*45,0.76,1375.0,0.21
Zika Virus,vaccine_element_48,HLA-A*58,0.37,833.0,0.39
Zika Virus,vaccine_element_48,HLA-A*81,0.98,1629.0,0.38
Zika Virus,vaccine_element_48,HLA-A*27,0.51,1316.0,0.58
Zika Virus,vaccine_element_48,HLA-B*50,0.38,1404.0,0.28
Zika Virus,vaccine_element_48,HLA-A*95,0.5,1145.0,0.5
Zika Virus,vaccine_element_48,HLA-B*81,0.33,1529.0,0.19
Zika Virus,vaccine_element_48,HLA-B*29,0.74,835.0,0.6
Zika Virus,vaccine_element_48,HLA-B*51,0.66,753.0,0.36
Zika Virus,vaccine_element_48,HLA-A*44,0.44,1550.0,0.29
Zika Virus,vaccine_element_48,HLA-B*82,0.6,568.0,0.48
Zika Virus,vaccine_element_48,HLA-B*72,0.41,403.0,0.49
Zika Virus,vaccine_element_48,HLA-B*52,0.77,1601.0,0.36
Zika Virus,vaccine_element_48,HLA-A*54,0.9,448.0,0.48
Zika Virus,vaccine_element_48,HLA-B*60,0.66,1457.0,0.44
Zika Virus,vaccine_element_48,HLA-B*93,0.96,587.0,0.39
Zika Virus,vaccine_element_48,HLA-B*32,0.82,1471.0,0.07
Zika Virus,vaccine_element_48,HLA-A*12,0.89,1378.0,0.41
Zika Virus,vaccine_element_48,HLA-B*54,0.7,855.0,0.6
Zika Virus,vaccine_element_49,HLA-B*40,0.49,1450.0,0.19
Zika Virus,vaccine_element_49,HLA-B*49,0.66,1710.0,0.53
Zika Virus,vaccine_element_49,HLA-B*18,0.69,1875.0,0.13
Zika Virus,vaccine_element_49,HLA-A*19,0.84,734.0,0.66
Zika Virus,vaccine_element_49,HLA-A*40,0.37,1253.0,0.62
Zika Virus,vaccine_element_49,HLA-B*33,0.93,517.0,0.1
Zika Virus,vaccine_element_49,HLA-A*26,0.5,1229.0,0.56
Zika Virus,vaccine_element_49,HLA-B*12,0.67,1548.0,0.51
Zika Virus,vaccine_element_49,HLA-B*97,0.48,384.0,0.1
Zika Virus,vaccine_element_49,HLA-B*09,0.72,1762.0,0.44
Zika Virus,vaccine_element_49,HLA-B*89,0.4,1305.0,0.14
Zika Virus,vaccine_element_49,HLA-A*45,0.64,1633.0,0.1
Zika Virus,vaccine_element_49,HLA-A*58,0.34,1893.0,0.49
Zika Virus,vaccine_element_49,HLA-A*81,0.82,1335.0,0.09
Zika Virus,vaccine_element_49,HLA-A*27,0.42,627.0,0.53
Zika Virus,vaccine_element_49,HLA-B*50,0.39,1146.0,0.55
Zika Virus,vaccine_element_49,HLA-A*95,0.74,1164.0,0.63
Zika Virus,vaccine_element_49,HLA-B*81,0.9,683.0,0.67
Zika Virus,vaccine_element_49,HLA-B*29,0.64,1338.0,0.37
Zika Virus,vaccine_element_49,HLA-B*51,0.42,1318.0,0.43
Zika Virus,vaccine_element_49,HLA-A*44,0.98,405.0,0.28
Zika Virus,vaccine_element_49,HLA-B*82,0.76,1441.0,0.15
Zika Virus,vaccine_element_49,HLA-B*72,0.56,1946.0,0.1
Zika Virus,vaccine_element_49,HLA-B*52,0.32,1006.0,0.63
Zika Virus,vaccine_element_49,HLA-A*54,0.99,357.0,0.09
Zika Virus,vaccine_element_49,HLA-B*60,0.78,464.0,0.57
Zika Virus,vaccine_element_49,HLA-B*93,0.46,401.0,0.15
Zika Virus,vaccine_element_49,HLA-B*32,0.77,991.0,0.42
Zika Virus,vaccine_element_49,HLA-A*12,0.88,468.0,0.49
Zika Virus,vaccine_element_49,HLA-B*54,0.47,1963.0,0.21
Zika Virus,vaccine_element_50,HLA-B*40,0.38,1643.0,0.45
Zika Virus,vaccine_element_50,HLA-B*49,0.6,455.0,0.59
Zika Virus,vaccine_element_50,HLA-B*18,0.51,394.0,0.4
Zika Virus,vaccine_element_50,HLA-A*19,0.68,1812.0,0.2
Zika Virus,vaccine_element_50,HLA-A*40,0.91,1884.0,0.17
Zika Virus,vaccine_element_50,HLA-B*33,0.87,709.0,0.05
Zika Virus,vaccine_element_50,HLA-A*26,0.36,1236.0,0.05
Zika Virus,vaccine_element_50,HLA-B*12,0.82,665.0,0.4
Zika Virus,vaccine_element_50,HLA-B*97,0.44,1355.0,0.06
Zika Virus,vaccine_element_50,HLA-B*09,0.78,692.0,0.56
Zika Virus,vaccine_element_50,HLA-B*89,0.5,792.0,0.18
Zika Virus,vaccine_element_50,HLA-A*45,0.91,1929.0,0.28
Zika Virus,vaccine_element_50,HLA-A*58,0.66,692.0,0.28
Zika Virus,vaccine_element_50,HLA-A*81,0.66,628.0,0.37
Zika Virus,vaccine_element_50,HLA-A*27,0.46,1603.0,0.55
Zika Virus,vaccine_element_50,HLA-B*50,0.69,352.0,0.27
Zika Virus,vaccine_element_50,HLA-A*95,0.45,1432.0,0.36
Zika Virus,vaccine_element_50,HLA-B*81,0.34,1377.0,0.35
Zika Virus,vaccine_element_50,HLA-B*29,0.85,1649.0,0.57
Zika Virus,vaccine_element_50,HLA-B*51,0.35,506.0,0.62
Zika Virus,vaccine_element_50,HLA-A*44,0.94,641.0,0.57
Zika Virus,vaccine_element_50,HLA-B*82,0.89,636.0,0.66
Zika Virus,vaccine_element_50,HLA-B*72,0.81,398.0,0.54
Zika Virus,vaccine_element_50,HLA-B*52,0.55,1307.0,0.62
Zika Virus,vaccine_element_50,HLA-A*54,0.89,832.0,0.17
Zika Virus,vaccine_element_50,HLA-B*60,0.72,963.0,0.44
Zika Virus,vaccine_element_50,HLA-B*93,0.97,1251.0,0.37
Zika Virus,vaccine_element_50,HLA-B*32,0.33,1527.0,0.11
Zika Virus,vaccine_element_50,HLA-A*12,0.86,968.0,0.17
Zika Virus,vaccine_element_50,HLA-B*54,0.98,1442.0,0.54
Zika Virus,vaccine_element_51,HLA-B*40,0.43,1495.0,0.51
Zika Virus,vaccine_element_51,HLA-B*49,0.95,1164.0,0.48
Zika Virus,vaccine_element_51,HLA-B*18,0.63,1703.0,0.54
Zika Virus,vaccine_element_51,HLA-A*19,0.82,823.0,0.24
Zika Virus,vaccine_element_51,HLA-A*40,0.56,634.0,0.3
Zika Virus,vaccine_element_51,HLA-B*33,0.65,470.0,0.19
Zika Virus,vaccine_element_51,HLA-A*26,0.73,1201.0,0.16
Zika Virus,vaccine_element_51,HLA-B*12,0.4,1789.0,0.36
Zika Virus,vaccine_element_51,HLA-B*97,0.8,633.0,0.18
Zika Virus,vaccine_element_51,HLA-B*09,0.98,501.0,0.44
Zika Virus,vaccine_element_51,HLA-B*89,0.66,492.0,0.2
Zika Virus,vaccine_element_51,HLA-A*45,0.36,887.0,0.09
Zika Virus,vaccine_element_51,HLA-A*58,0.4,1865.0,0.49
Zika Virus,vaccine_element_51,HLA-A*81,0.93,1859.0,0.63
Zika Virus,vaccine_element_51,HLA-A*27,0.93,476.0,0.61
Zika Virus,vaccine_element_51,HLA-B*50,0.53,308.0,0.16
Zika Virus,vaccine_element_51,HLA-A*95,0.44,1806.0,0.66
Zika Virus,vaccine_element_51,HLA-B*81,0.49,1414.0,0.37
Zika Virus,vaccine_element_51,HLA-B*29,0.61,1355.0,0.57
Zika Virus,vaccine_element_51,HLA-B*51,0.47,644.0,0.24
Zika Virus,vaccine_element_51,HLA-A*44,0.63,1246.0,0.15
Zika Virus,vaccine_element_51,HLA-B*82,0.77,978.0,0.18
Zika Virus,vaccine_element_51,HLA-B*72,0.45,1279.0,0.54
Zika Virus,vaccine_element_51,HLA-B*52,0.43,474.0,0.3
Zika Virus,vaccine_element_51,HLA-A*54,0.68,1634.0,0.57
Zika Virus,vaccine_element_51,HLA-B*60,0.6,801.0,0.43
Zika Virus,vaccine_element_51,HLA-B*93,0.5,758.0,0.44
Zika Virus,vaccine_element_51,HLA-B*32,0.61,874.0,0.37
Zika Virus,vaccine_element_51,HLA-A*12,0.95,1330.0,0.3
Zika Virus,vaccine_element_51,HLA-B*54,0.87,1161.0,0.36
Zika Virus,vaccine_element_52,HLA-B*40,0.82,1874.0,0.29
Zika Virus,vaccine_element_52,HLA-B*49,0.45,1278.0,0.11
Zika Virus,vaccine_element_52,HLA-B*18,0.99,1065.0,0.06
Zika Virus,vaccine_element_52,HLA-A*19,0.71,300.0,0.23
Zika Virus,vaccine_element_52,HLA-A*40,0.53,1073.0,0.09
Zika Virus,vaccine_element_52,HLA-B*33,0.93,1250.0,0.25
Zika Virus,vaccine_element_52,HLA-A*26,0.51,1526.0,0.06
Zika Virus,vaccine_element_52,HLA-B*12,0.88,615.0,0.08
Zika Virus,vaccine_element_52,HLA-B*97,0.84,1074.0,0.65
Zika Virus,vaccine_element_52,HLA-B*09,0.78,1850.0,0.61
Zika Virus,vaccine_element_52,HLA-B*89,0.97,1957.0,0.27
Zika Virus,vaccine_element_52,HLA-A*45,0.91,1719.0,0.22
Zika Virus,vaccine_element_52,HLA-A*58,0.67,708.0,0.27
Zika Virus,vaccine_element_52,HLA-A*81,0.47,413.0,0.53
Zika Virus,vaccine_element_52,HLA-A*27,0.65,945.0,0.28
Zika Virus,vaccine_element_52,HLA-B*50,0.88,963.0,0.41
Zika Virus,vaccine_element_52,HLA-A*95,0.47,596.0,0.52
Zika Virus,vaccine_element_52,HLA-B*81,0.98,790.0,0.1
Zika Virus,vaccine_element_52,HLA-B*29,0.58,1849.0,0.58
Zika Virus,vaccine_element_52,HLA-B*51,0.37,854.0,0.15
Zika Virus,vaccine_element_52,HLA-A*44,0.75,1181.0,0.57
Zika Virus,vaccine_element_52,HLA-B*82,0.49,1734.0,0.48
Zika Virus,vaccine_element_52,HLA-B*72,0.82,557.0,0.07
Zika Virus,vaccine_element_52,HLA-B*52,0.53,1608.0,0.26
Zika Virus,vaccine_element_52,HLA-A*54,0.56,902.0,0.16
Zika Virus,vaccine_element_52,HLA-B*60,0.96,597.0,0.1
Zika Virus,vaccine_element_52,HLA-B*93,0.61,311.0,0.5
Zika Virus,vaccine_element_52,HLA-B*32,0.67,886.0,0.18
Zika Virus,vaccine_element_52,HLA-A*12,0.5,433.0,0.24
Zika Virus,vaccine_element_52,HLA-B*54,0.72,967.0,0.17
Zika Virus,vaccine_element_53,HLA-B*40,0.64,966.0,0.22
Zika Virus,vaccine_element_53,HLA-B*49,0.53,1345.0,0.47
Zika Virus,vaccine_element_53,HLA-B*18,0.66,1836.0,0.67
Zika Virus,vaccine_element_53,HLA-A*19,0.67,1747.0,0.08
Zika Virus,vaccine_element_53,HLA-A*40,0.74,1130.0,0.46
Zika Virus,vaccine_element_53,HLA-B*33,0.77,302.0,0.07
Zika Virus,vaccine_element_53,HLA-A*26,0.73,1294.0,0.18
Zika Virus,vaccine_element_53,HLA-B*12,0.54,1077.0,0.24
Zika Virus,vaccine_element_53,HLA-B*97,0.78,407.0,0.44
Zika Virus,vaccine_element_53,HLA-B*09,0.8,1799.0,0.55
Zika Virus,vaccine_element_53,HLA-B*89,0.75,1191.0,0.16
Zika Virus,vaccine_element_53,HLA-A*45,0.63,1591.0,0.07
Zika Virus,vaccine_element_53,HLA-A*58,0.48,1179.0,0.62
Zika Virus,vaccine_element_53,HLA-A*81,0.99,1411.0,0.27
Zika Virus,vaccine_element_53,HLA-A*27,0.93,844.0,0.4
Zika Virus,vaccine_element_53,HLA-B*50,0.45,1746.0,0.4
Zika Virus,vaccine_element_53,HLA-A*95,0.5,1232.0,0.12
Zika Virus,vaccine_element_53,HLA-B*81,0.62,967.0,0.33
Zika Virus,vaccine_element_53,HLA-B*29,0.34,1315.0,0.41
Zika Virus,vaccine_element_53,HLA-B*51,0.71,525.0,0.08
Zika Virus,vaccine_element_53,HLA-A*44,0.53,450.0,0.61
Zika Virus,vaccine_element_53,HLA-B*82,0.42,647.0,0.59
Zika Virus,vaccine_element_53,HLA-B*72,0.95,1178.0,0.31
Zika Virus,vaccine_element_53,HLA-B*52,0.68,1982.0,0.17
Zika Virus,vaccine_element_53,HLA-A*54,0.9,319.0,0.38
Zika Virus,vaccine_element_53,HLA-B*60,0.94,1487.0,0.19
Zika Virus,vaccine_element_53,HLA-B*93,0.6,756.0,0.54
Zika Virus,vaccine_element_53,HLA-B*32,0.57,742.0,0.31
Zika Virus,vaccine_element_53,HLA-A*12,0.79,552.0,0.4
Zika Virus,vaccine_element_53,HLA-B*54,0.8,1769.0,0.17
Zika Virus,vaccine_element_54,HLA-B*40,0.36,818.0,0.42
Zika Virus,vaccine_element_54,HLA-B*49,0.81,803.0,0.64
Zika Virus,vaccine_element_54,HLA-B*18,0.7,388.0,0.28
Zika Virus,vaccine_element_54,HLA-A*19,0.94,1054.0,0.44
Zika Virus,vaccine_element_54,HLA-A*40,0.67,614.0,0.09
Zika Virus,vaccine_element_54,HLA-B*33,0.73,1083.0,0.18
Zika Virus,vaccine_element_54,HLA-A*26,0.42,1771.0,0.53
Zika Virus,vaccine_element_54,HLA-B*12,0.61,1540.0,0.48
Zika Virus,vaccine_element_54,HLA-B*97,0.53,329.0,0.52
Zika Virus,vaccine_element_54,HLA-B*09,0.96,1821.0,0.47
Zika Virus,vaccine_element_54,HLA-B*89,0.49,1861.0,0.49
Zika Virus,vaccine_element_54,HLA-A*45,0.84,1491.0,0.67
Zika Virus,vaccine_element_54,HLA-A*58,0.55,1721.0,0.25
Zika Virus,vaccine_element_54,HLA-A*81,0.35,1506.0,0.18
Zika Virus,vaccine_element_54,HLA-A*27,0.91,376.0,0.1
Zika Virus,vaccine_element_54,HLA-B*50,0.36,1961.0,0.03
Zika Virus,vaccine_element_54,HLA-A*95,0.78,1612.0,0.43
Zika Virus,vaccine_element_54,HLA-B*81,0.75,569.0,0.26
Zika Virus,vaccine_element_54,HLA-B*29,0.61,1626.0,0.25
Zika Virus,vaccine_element_54,HLA-B*51,0.97,714.0,0.57
Zika Virus,vaccine_element_54,HLA-A*44,0.74,1542.0,0.1
Zika Virus,vaccine_element_54,HLA-B*82,0.88,1723.0,0.05
Zika Virus,vaccine_element_54,HLA-B*72,0.37,1770.0,0.29
Zika Virus,vaccine_element_54,HLA-B*52,0.87,1082.0,0.12
Zika Virus,vaccine_element_54,HLA-A*54,0.9,1545.0,0.65
Zika Virus,vaccine_element_54,HLA-B*60,0.6,1137.0,0.52
Zika Virus,vaccine_element_54,HLA-B*93,0.79,1308.0,0.44
Zika Virus,vaccine_element_54,HLA-B*32,0.99,1039.0,0.29
Zika Virus,vaccine_element_54,HLA-A*12,0.87,681.0,0.4
Zika Virus,vaccine_element_54,HLA-B*54,0.55,1451.0,0.6
Zika Virus,vaccine_element_55,HLA-B*40,0.55,530.0,0.12
Zika Virus,vaccine_element_55,HLA-B*49,0.4,1563.0,0.18
Zika Virus,vaccine_element_55,HLA-B*18,0.6,1432.0,0.07
Zika Virus,vaccine_element_55,HLA-A*19,0.33,1156.0,0.15
Zika Virus,vaccine_element_55,HLA-A*40,0.55,526.0,0.49
Zika Virus,vaccine_element_55,HLA-B*33,0.84,611.0,0.56
Zika Virus,vaccine_element_55,HLA-A*26,0.68,1932.0,0.09
Zika Virus,vaccine_element_55,HLA-B*12,0.89,1960.0,0.2
Zika Virus,vaccine_element_55,HLA-B*97,0.74,895.0,0.5
Zika Virus,vaccine_element_55,HLA-B*09,0.95,418.0,0.37
Zika Virus,vaccine_element_55,HLA-B*89,0.75,511.0,0.09
Zika Virus,vaccine_element_55,HLA-A*45,0.57,1679.0,0.67
Zika Virus,vaccine_element_55,HLA-A*58,0.91,687.0,0.08
Zika Virus,vaccine_element_55,HLA-A*81,0.42,1865.0,0.51
Zika Virus,vaccine_element_55,HLA-A*27,0.79,445.0,0.34
Zika Virus,vaccine_element_55,HLA-B*50,0.7,437.0,0.58
Zika Virus,vaccine_element_55,HLA-A*95,0.66,438.0,0.61
Zika Virus,vaccine_element_55,HLA-B*81,0.52,1761.0,0.32
Zika Virus,vaccine_element_55,HLA-B*29,0.53,1892.0,0.07
Zika Virus,vaccine_element_55,HLA-B*51,0.44,968.0,0.39
Zika Virus,vaccine_element_55,HLA-A*44,0.46,1638.0,0.11
Zika Virus,vaccine_element_55,HLA-B*82,0.95,1081.0,0.12
Zika Virus,vaccine_element_55,HLA-B*72,0.92,1565.0,0.26
Zika Virus,vaccine_element_55,HLA-B*52,0.79,1654.0,0.31
Zika Virus,vaccine_element_55,HLA-A*54,0.95,675.0,0.03
Zika Virus,vaccine_element_55,HLA-B*60,0.7,1054.0,0.44
Zika Virus,vaccine_element_55,HLA-B*93,0.63,305.0,0.61
Zika Virus,vaccine_element_55,HLA-B*32,0.95,606.0,0.12
Zika Virus,vaccine_element_55,HLA-A*12,0.7,1967.0,0.28
Zika Virus,vaccine_element_55,HLA-B*54,1.0,1179.0,0.27
Zika Virus,vaccine_element_56,HLA-B*40,0.82,354.0,0.53
Zika Virus,vaccine_element_56,HLA-B*49,0.76,1598.0,0.21
Zika Virus,vaccine_element_56,HLA-B*18,0.7,1395.0,0.32
Zika Virus,vaccine_element_56,HLA-A*19,0.95,952.0,0.13
Zika Virus,vaccine_element_56,HLA-A*40,0.39,676.0,0.38
Zika Virus,vaccine_element_56,HLA-B*33,0.57,623.0,0.45
Zika Virus,vaccine_element_56,HLA-A*26,0.75,528.0,0.61
Zika Virus,vaccine_element_56,HLA-B*12,0.46,1075.0,0.23
Zika Virus,vaccine_element_56,HLA-B*97,0.63,408.0,0.56
Zika Virus,vaccine_element_56,HLA-B*09,0.79,1202.0,0.21
Zika Virus,vaccine_element_56,HLA-B*89,0.46,1642.0,0.37
Zika Virus,vaccine_element_56,HLA-A*45,0.7,510.0,0.4
Zika Virus,vaccine_element_56,HLA-A*58,0.76,1217.0,0.57
Zika Virus,vaccine_element_56,HLA-A*81,0.52,752.0,0.56
Zika Virus,vaccine_element_56,HLA-A*27,0.79,1369.0,0.39
Zika Virus,vaccine_element_56,HLA-B*50,0.85,1389.0,0.47
Zika Virus,vaccine_element_56,HLA-A*95,0.99,717.0,0.52
Zika Virus,vaccine_element_56,HLA-B*81,0.9,1851.0,0.52
Zika Virus,vaccine_element_56,HLA-B*29,0.98,604.0,0.66
Zika Virus,vaccine_element_56,HLA-B*51,0.97,603.0,0.11
Zika Virus,vaccine_element_56,HLA-A*44,0.42,932.0,0.35
Zika Virus,vaccine_element_56,HLA-B*82,0.56,1252.0,0.5
Zika Virus,vaccine_element_56,HLA-B*72,0.42,1340.0,0.08
Zika Virus,vaccine_element_56,HLA-B*52,0.48,400.0,0.59
Zika Virus,vaccine_element_56,HLA-A*54,0.96,853.0,0.5
Zika Virus,vaccine_element_56,HLA-B*60,0.66,1673.0,0.51
Zika Virus,vaccine_element_56,HLA-B*93,0.68,659.0,0.67
Zika Virus,vaccine_element_56,HLA-B*32,0.8,762.0,0.57
Zika Virus,vaccine_element_56,HLA-A*12,0.88,1853.0,0.47
Zika Virus,vaccine_element_56,HLA-B*54,0.52,926.0,0.15
Zika Virus,vaccine_element_57,HLA-B*40,0.75,593.0,0.42
Zika Virus,vaccine_element_57,HLA-B*49,0.94,1352.0,0.1
Zika Virus,vaccine_element_57,HLA-B*18,0.76,1706.0,0.13
Zika Virus,vaccine_element_57,HLA-A*19,0.92,1764.0,0.26
Zika Virus,vaccine_element_57,HLA-A*40,0.9,990.0,0.05
Zika Virus,vaccine_element_57,HLA-B*33,0.63,1852.0,0.34
Zika Virus,vaccine_element_57,HLA-A*26,0.66,1634.0,0.05
Zika Virus,vaccine_element_57,HLA-B*12,0.56,1988.0,0.22
Zika Virus,vaccine_element_57,HLA-B*97,0.74,402.0,0.26
